출판사,작가,도서/강연제목,대상,강연방식,주제/소개,상세페이지,이미지URL
머핀북,원유순,초등 어휘력을 키워 주는 신나는 속담 이야기(<날마다 속담> 원유순 선생님),어린이(저학년),대면/미정,"일반 강연 기타, writing",https://www.bookseed.kr/program/lecture/e22d16b7-7f3f-11f0-a027-1cce51281be1,
웅진주니어,이혜인,"새롭게 상상해보는 똥의 세계, <너희가 똥을 알아?>",어린이(저학년),비대면,"활동/워크숍 문학, art",https://www.bookseed.kr/program/lecture/e22beaf0-7f3f-11f0-a027-1cce51281be1,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6222899%3Ftimestamp%3D20231104155309
부카주니어,이성엽,꿈과 희망을 찾아서(내뿔을 찾아줘),어린이(저학년),비대면,"bookplay creative, 문학",https://www.bookseed.kr/program/lecture/e22be102-7f3f-11f0-a027-1cce51281be1,
뭉치,이성엽,키재기 기린의 비밀(올바른 성장의 의미),어린이(저학년),비대면,"일반 강연 philosophy, creative",https://www.bookseed.kr/program/lecture/e22bc4ca-7f3f-11f0-a027-1cce51281be1,
우주나무,윤소진,<지우헤어> 윤소진 작가와의 만남,어린이(저학년),대면/미정,"활동/워크숍 creative, art",https://www.bookseed.kr/program/lecture/e22aea44-7f3f-11f0-a027-1cce51281be1,
책과콩나무,김미숙,<말싸움 학원> 작가와의 만남,어린이(저학년),대면/미정,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e22a3131-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,원유순,"소심한 아이, 협동과 배려, 다름과 개성(뒤끝작렬 왕소심_원유순선생님)",어린이(저학년),비대면,"일반 강연 기타, creative",https://www.bookseed.kr/program/lecture/e229dc82-7f3f-11f0-a027-1cce51281be1,
잇츠북,정희용,용기내길 잘 했어!(부풀어용기껌_정희용선생님),어린이(저학년),비대면,"일반 강연 creative, 기타",https://www.bookseed.kr/program/lecture/e229a032-7f3f-11f0-a027-1cce51281be1,
봄마중,한영미,특급 행운을 찾아드립니다,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e22937c7-7f3f-11f0-a027-1cce51281be1,
한림출판사,김바다,내가 키운 채소는 맛있어!,어린이(저학년),대면/미정,"활동/워크숍 기타, 교양/문화",https://www.bookseed.kr/program/lecture/e228f402-7f3f-11f0-a027-1cce51281be1,
키큰도토리,권삼중,좋은 책은 좋은 친구,어린이(저학년),비대면,"일반 강연 creative, 기타",https://www.bookseed.kr/program/lecture/e228437d-7f3f-11f0-a027-1cce51281be1,
키큰도토리,조인하,과학 동화책 재미있게 읽기,어린이(저학년),비대면,일반 강연 기타,https://www.bookseed.kr/program/lecture/e2283eeb-7f3f-11f0-a027-1cce51281be1,
마루비,이규희,[신비한 문방구] 이 세상에 똑같은 사람은 없어!/ 나와 다른 친구를 인정해주기,어린이(저학년),대면/미정,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e228015b-7f3f-11f0-a027-1cce51281be1,
마루비,김우주,[초초숲에서 만나] 좋은 친구란 어떤 것일까요?,어린이(저학년),대면/미정,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e227d1ba-7f3f-11f0-a027-1cce51281be1,
위즈덤하우스,김바다,쌀밥 한 그릇에 담긴 생태계,어린이(저학년),비대면,"일반 강연 교양/문화, 기타",https://www.bookseed.kr/program/lecture/e226f0bd-7f3f-11f0-a027-1cce51281be1,
위즈덤하우스,김바다,로봇과 함께 살아가기,어린이(저학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e226cb2c-7f3f-11f0-a027-1cce51281be1,
미세기,김바다,남극의 펭귄을 구하자!,어린이(저학년),비대면,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e226b308-7f3f-11f0-a027-1cce51281be1,
키즈스콜레,김바다,재미있는 시간은 왜 빨리 가지?,어린이(저학년),대면/미정,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e2269017-7f3f-11f0-a027-1cce51281be1,
도토리숲,김바다,조선의 자존심을 지킨 마지막 왕자,어린이(저학년),비대면,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e2266d61-7f3f-11f0-a027-1cce51281be1,
다산어린이,박현숙,"꿈꾸는 구렁이, 구드래곤",어린이(저학년),대면/미정,"일반 강연 creative, writing",https://www.bookseed.kr/program/lecture/e2252916-7f3f-11f0-a027-1cce51281be1,
바우솔,서석영,<더 잘 혼나는 방법> :우리는 왜 혼날까?,어린이(저학년),대면/미정,"일반 강연 교양/문화, creative",https://www.bookseed.kr/program/lecture/e224b7c1-7f3f-11f0-a027-1cce51281be1,
다산어린이,홍민정,<낭만 강아지 봉봉> 친구와 함께하는 행복,어린이(저학년),비대면,"일반 강연 writing, creative",https://www.bookseed.kr/program/lecture/e22436f8-7f3f-11f0-a027-1cce51281be1,
북극곰,이수완,그림책 작가와 영웅 되어 보기,어린이(저학년),비대면,"bookplay 문학, art",https://www.bookseed.kr/program/lecture/e2240e7d-7f3f-11f0-a027-1cce51281be1,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6046839%3Ftimestamp%3D20241219151053
뜨인돌어린이,최은순,나는 힘든 친구에게 어떤 친구가 되어 줄까?,어린이(저학년),대면/미정,"일반 강연 교양/문화, 기타",https://www.bookseed.kr/program/lecture/e22215cd-7f3f-11f0-a027-1cce51281be1,
국민서관(주),루치루치,마음이 통하면 누구나 친구『여섯 살 친구』,어린이(저학년),비대면,"활동/워크숍 그림책, creative",https://www.bookseed.kr/program/lecture/e2221167-7f3f-11f0-a027-1cce51281be1,
책읽는곰,김진희,유령잡는안경으로 두려움을 용기로!,어린이(저학년),비대면,"활동/워크숍 문학, creative",https://www.bookseed.kr/program/lecture/e221ae77-7f3f-11f0-a027-1cce51281be1,
도서출판 봄볕,유지우,여우와 나의 이야기,어린이(저학년),대면/미정,"활동/워크숍 문학, art",https://www.bookseed.kr/program/lecture/e22107ee-7f3f-11f0-a027-1cce51281be1,
보랏빛소어린이,박서진,<글자 먹는 고양이>와 함께하는 문해력 수업,어린이(저학년),비대면,"활동/워크숍 writing, creative",https://www.bookseed.kr/program/lecture/e220824d-7f3f-11f0-a027-1cce51281be1,
봄마중,조경희,소원 일기장이 내 소원을 들어준다고?,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e22018ed-7f3f-11f0-a027-1cce51281be1,
출판놀이,윤수란,진정한 ‘나’와 ‘좋아요’를 찾아서,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e21ffaf2-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,김용세,병아리 한살이를 통한 생명 존중UP!(김용세선생님),어린이(저학년),비대면,"일반 강연 기타, creative",https://www.bookseed.kr/program/lecture/e21fdf4b-7f3f-11f0-a027-1cce51281be1,
천개의바람,강현선 그림,"<세종,백성을사랑하다>OX퀴즈로 알아보는 세종이야기와 활자판 만들기",어린이(저학년),비대면,"활동/워크숍 교양/문화, 기타",https://www.bookseed.kr/program/lecture/e21fb00b-7f3f-11f0-a027-1cce51281be1,
별숲,이수용,《저랑 거래하실래요?》이수용 작가 : 거래를 통해 깨닫는 물건의 가치,어린이(저학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e21f8c04-7f3f-11f0-a027-1cce51281be1,
도토리숲,송아주,"기후 위기, 지구인 모두가 힘을 합쳐요!",어린이(저학년),비대면,"일반 강연 교양/문화, 문학",https://www.bookseed.kr/program/lecture/e21f31ec-7f3f-11f0-a027-1cce51281be1,
스푼북,송아주,우리 학교에 저작권 수호천사가 왔다!,어린이(저학년),대면/미정,"일반 강연 교양/문화, 사회",https://www.bookseed.kr/program/lecture/e21ecd89-7f3f-11f0-a027-1cce51281be1,
청개구리,박예분,<줄탁이> 박예분 작가와 함께하는 이야기 여행,어린이(저학년),비대면,"일반 강연 문학, art",https://www.bookseed.kr/program/lecture/e21e784d-7f3f-11f0-a027-1cce51281be1,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6216716%3Ftimestamp%3D20240111155706
청개구리,박예분,<발가락들이 웃는다> 박예분 작가와 함께 시꽃을 피워요,어린이(저학년),비대면,"일반 강연 문학, art",https://www.bookseed.kr/program/lecture/e21e3958-7f3f-11f0-a027-1cce51281be1,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6204607%3Ftimestamp%3D20250904141858
보랏빛소어린이,한라경,<엄마의 김치 수첩> 속 옛 이야기를 만나고 김장을 해 봐요!,어린이(저학년),비대면,"활동/워크숍 기타, 사회",https://www.bookseed.kr/program/lecture/e21e0059-7f3f-11f0-a027-1cce51281be1,
한울림어린이,김윤이,<밀짚모자> :텃밭에서 시작된 이야기,어린이(저학년),비대면,"활동/워크숍 art, 기타",https://www.bookseed.kr/program/lecture/e21cde23-7f3f-11f0-a027-1cce51281be1,
겜툰,이나영,이나영 작가와의 만남 <소원을 들어주는 미호네>,어린이(저학년),비대면,"일반 강연 문학, writing",https://www.bookseed.kr/program/lecture/e21cd1ec-7f3f-11f0-a027-1cce51281be1,
천개의바람,"양자현 (지은이), 손지희 (그림)",<초원의 명탐정 몽구리 > 양자현 작가와의 만남,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e21cc19d-7f3f-11f0-a027-1cce51281be1,
바우솔,서석영,"<엄마 아빠는 전쟁 중> :엄마 아빠, 제발 그만 싸워요!",어린이(저학년),대면/미정,"일반 강연 creative, 문학",https://www.bookseed.kr/program/lecture/e21ba02f-7f3f-11f0-a027-1cce51281be1,
고래책빵,정혜원,<아침 바다 민박 > :내 안에 위로와 희망 찾기,어린이(저학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/e21b51e9-7f3f-11f0-a027-1cce51281be1,
봄마중,최은영,원하는 물건으로 바꿔주는 맘대로 바꿔 가게!,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e21b1657-7f3f-11f0-a027-1cce51281be1,
웅진주니어,이 사 랏,빨간 모자 의상실,어린이(저학년),비대면,"일반 강연 creative, art",https://www.bookseed.kr/program/lecture/e21aa706-7f3f-11f0-a027-1cce51281be1,
우리학교,이수용,세상에서 가장 재미있는 이야기 만들기,어린이(저학년),대면/미정,일반 강연 문학,https://www.bookseed.kr/program/lecture/e21a522c-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,원유순,"친구관계,이해배려(원유순선생님-우정계약서)",어린이(저학년),비대면,"일반 강연 creative, 기타",https://www.bookseed.kr/program/lecture/e219a326-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,원유순,유투브 사용(원유순선생님-세상을 바꾸는 크리에이터),어린이(저학년),비대면,"일반 강연 creative, 기타",https://www.bookseed.kr/program/lecture/e21987f6-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,원유순,두려움과 소심함극복(원유순선생님-행운의문자주의보),어린이(저학년),비대면,"일반 강연 creative, 기타",https://www.bookseed.kr/program/lecture/e2196a07-7f3f-11f0-a027-1cce51281be1,
크레용하우스,서지원,서지원 작가와 함께 하는 문해력 키워주는 창의력 글쓰기,어린이(저학년),대면/미정,"일반 강연 writing, 기타",https://www.bookseed.kr/program/lecture/e21932d9-7f3f-11f0-a027-1cce51281be1,
보랏빛소어린이,한라경,<머리카락 선물>로 배우는 우정과 나눔 이야기,어린이(저학년),비대면,"활동/워크숍 기타, 사회",https://www.bookseed.kr/program/lecture/e2192cb6-7f3f-11f0-a027-1cce51281be1,
별숲,박용숙,모든 행동에는 책임이 따른다,어린이(저학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e21919ef-7f3f-11f0-a027-1cce51281be1,
별숲,정이립,놀이와 함께 성장하는 어린이,어린이(저학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e218fccd-7f3f-11f0-a027-1cce51281be1,
찰리북 출판사,이명희,"<오! 나의 반려 닭, 코코> :반려동물과 생명존중",어린이(저학년),비대면,"others 문학, 사회",https://www.bookseed.kr/program/lecture/e218b385-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,김경미,내가 가진 초능력(김경미선생님),어린이(저학년),비대면,"일반 강연 creative, 기타",https://www.bookseed.kr/program/lecture/e2180f2e-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,김경미,잔소리를 피하는 방법(김경미선생님),어린이(저학년),비대면,"일반 강연 creative, 기타",https://www.bookseed.kr/program/lecture/e217f7e5-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,김경미,“사랑해”라는 말의 가치(김경미선생님),어린이(저학년),비대면,일반 강연 creative,https://www.bookseed.kr/program/lecture/e217c15b-7f3f-11f0-a027-1cce51281be1,
웅진주니어,김소리,"나만의 행선지, 나의 버스 여행",어린이(저학년),대면/미정,"활동/워크숍 art, creative",https://www.bookseed.kr/program/lecture/e2174392-7f3f-11f0-a027-1cce51281be1,
봄마중,박채현,나답게! 내 삶의 주인 되기!,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e2165ac9-7f3f-11f0-a027-1cce51281be1,
주니어 김영사,한영미,마법이 시작되는 시간,어린이(저학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/e2163186-7f3f-11f0-a027-1cce51281be1,
뜨인돌어린이,최명서,"야호, 절친이 생겼어!",어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e2161584-7f3f-11f0-a027-1cce51281be1,
뜨인돌어린이,백혜영,어떻게 하면 나만의 꿈을 찾을 수 있을까요?,어린이(저학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e2161318-7f3f-11f0-a027-1cce51281be1,
뜨인돌,김규희,내가 사랑하는 것들,어린이(저학년),비대면,"창작 문학, art",https://www.bookseed.kr/program/lecture/e2160528-7f3f-11f0-a027-1cce51281be1,
뜨인돌어린이,송방순,전학은 또 다른 시작!,어린이(저학년),비대면,"일반 강연 사회, 문학",https://www.bookseed.kr/program/lecture/e21602bd-7f3f-11f0-a027-1cce51281be1,
우리학교,고정욱,"<고정욱 선생님이 들려주는 다정한 말, 단단한 말> 작가와의 만남",어린이(저학년),대면/미정,일반 강연 문학,https://www.bookseed.kr/program/lecture/e215fecb-7f3f-11f0-a027-1cce51281be1,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6203895%3Ftimestamp%3D20260121151245
국민서관(주),한영미,멀리 있는 행운보다는 가까이 있는 행복을 찾아드립니다『랩 나와라 뚝딱! 노래 나와라 뚝딱!』,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e2159d3f-7f3f-11f0-a027-1cce51281be1,
바우솔,서석영,<베프전쟁> :좋은 친구가 되는 방법,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e21562a8-7f3f-11f0-a027-1cce51281be1,
머스트비,신원미,[발레 하는 할아버지] 상상력의 힘!,어린이(저학년),대면/미정,"others 문학, creative",https://www.bookseed.kr/program/lecture/e2153a44-7f3f-11f0-a027-1cce51281be1,
머스트비,신원미,우리 함께 행복을 노래해요!,어린이(저학년),대면/미정,"others 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e215138f-7f3f-11f0-a027-1cce51281be1,
봄마중,류미정,나만의 버킷리스트 만들기,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e214b1f4-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,류미정,"말의 힘,거꾸로 말대꾸(류미정선생님)",어린이(저학년),비대면,"bookplay creative, 기타",https://www.bookseed.kr/program/lecture/e2148243-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,이수용,"평범한 건 싫어, 레오와 함께하는 ‘완벽한 초등생활 따라잡기’(이수용선생님)",어린이(저학년),비대면,"bookplay creative, 기타",https://www.bookseed.kr/program/lecture/e214351d-7f3f-11f0-a027-1cce51281be1,
국민서관(주),영민,『난난난』 잘하는 것도 많아요!,어린이(저학년),비대면,"활동/워크숍 그림책, creative",https://www.bookseed.kr/program/lecture/e2141e53-7f3f-11f0-a027-1cce51281be1,
도서출판 꿈터,류미정,즐거움 속에서 나를 찾기,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e214137d-7f3f-11f0-a027-1cce51281be1,
마루비,백혜진,[꿀꺽! 돼지 저금통] 나에게 소중한 것,어린이(저학년),대면/미정,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e213f0d7-7f3f-11f0-a027-1cce51281be1,
책딱지,류미정,『마시멜로의 달콤한 비밀』솔직함이 주는 마법,어린이(저학년),비대면,"일반 강연 문학, writing",https://www.bookseed.kr/program/lecture/e213a530-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,박선화,꿈을 이루는 선택과 독서(박선화선생님),어린이(저학년),대면/미정,"bookplay 기타, creative",https://www.bookseed.kr/program/lecture/e2132562-7f3f-11f0-a027-1cce51281be1,
서사원,링고애니 언어연구소,영어 말놀이 알파벳 완주 따라쓰기,어린이(저학년),대면/미정,"활동/워크숍 기타, 교양/문화",https://www.bookseed.kr/program/lecture/e212b3fe-7f3f-11f0-a027-1cce51281be1,
별숲,이수용,나도 달인이 되는 법,어린이(저학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e21290cb-7f3f-11f0-a027-1cce51281be1,
봄마중,류미정,내 안에 숨은 마음은 뭘까? 마음의 소리 들어보기,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e212374f-7f3f-11f0-a027-1cce51281be1,
국민서관(주),김시민,내 마음을 시로 표현해 보자!『금메달이 뜬다』,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e2121fba-7f3f-11f0-a027-1cce51281be1,
국민서관(주),허아성,찬란한 지구를 지키기 위한 이유 있는 질문『아름다운 우리 섬에 놀러 와』,어린이(저학년),비대면,"일반 강연 그림책, 문학",https://www.bookseed.kr/program/lecture/e212172a-7f3f-11f0-a027-1cce51281be1,
어떤우주,"우지현 글,그림","나는 매일 그려요, 나는 매일 000 해요",어린이(저학년),비대면,"활동/워크숍 기타, career",https://www.bookseed.kr/program/lecture/e211ed73-7f3f-11f0-a027-1cce51281be1,
키큰도토리,김여나,해녀 이야기를 통해 꿈과 희망 찾기,어린이(저학년),비대면,"일반 강연 문학, career",https://www.bookseed.kr/program/lecture/e211aa5e-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,선시야,내 친구 이름은 ‘겸손’과 ‘배려’(선시야선생님),어린이(저학년),대면/미정,"bookplay writing, 기타",https://www.bookseed.kr/program/lecture/e21171dc-7f3f-11f0-a027-1cce51281be1,
바람의아이들,정이립,『생쥐처럼』 놀아 봅시다! - 정이립 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e2115314-7f3f-11f0-a027-1cce51281be1,
해와나무,"최인정 (지은이), 강은옥 (그림)",<동전 먹는 고양이>와 함께 두려움 극복하기,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e21075ff-7f3f-11f0-a027-1cce51281be1,
마술피리,"류미원 (지은이), 이경석 (그림)",똥똥구리 탐정과 함께 사건을 해결해 보아요 - <쌍둥이 탐정 똥똥구리> 시리즈,어린이(저학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e2105416-7f3f-11f0-a027-1cce51281be1,
북멘토(도서출판),"장영현 (지은이), 이로우 (그림)",<아빠는 아홉 살> 장영현 작가와의 만남 : 부모와 자녀 아홉 살 친구되기,어린이(저학년),비대면,"일반 강연 교양/문화, 문학",https://www.bookseed.kr/program/lecture/e21037dc-7f3f-11f0-a027-1cce51281be1,
바람의아이들,정이립,방귀쟁이가 됩시다! - 나의 '재주' 찾기,어린이(저학년),비대면,"일반 강연 문학, career",https://www.bookseed.kr/program/lecture/e2100be2-7f3f-11f0-a027-1cce51281be1,
리틀씨앤톡,허아성,내 마음을 소개합니다! <마음 의자>,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e20f72e9-7f3f-11f0-a027-1cce51281be1,
파란자전거,김혜영,입학 코디네이터 되어 보기 (모두를 위한 디자인 메이커),어린이(저학년),비대면,"창작 문학, 기타",https://www.bookseed.kr/program/lecture/e20f38f9-7f3f-11f0-a027-1cce51281be1,
웅진주니어,김경희,누구나식당으로 놀러오세요!,어린이(저학년),비대면,"일반 강연 creative, 기타",https://www.bookseed.kr/program/lecture/e20ddaa2-7f3f-11f0-a027-1cce51281be1,
마루비,김현정,[고양이 납치범] 반려동물과 애완동물의 차이는 무엇일까요? (동물권),어린이(저학년),대면/미정,"일반 강연 문학, 사회",https://www.bookseed.kr/program/lecture/e20dcf3d-7f3f-11f0-a027-1cce51281be1,
와이즈만북스,원종우,과학 팟캐스트 원종우 작가의 엉뚱한 과학이야기 완결판! 『엉뚱하지만 과학입니다』시리즈,어린이(저학년),대면/미정,일반 강연 기타,https://www.bookseed.kr/program/lecture/e20cbd4e-7f3f-11f0-a027-1cce51281be1,
마루비,신원미,[거미줄 줄넘기] 천리 길도 한 걸음부터!,어린이(저학년),대면/미정,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e20cac59-7f3f-11f0-a027-1cce51281be1,
마루비,신은영,"[나랑 기억 바꿀래?] 부끄러운 기억, 상처, 트라우마를 대하는 자세",어린이(저학년),대면/미정,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e20ca753-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,소연,내가 꿈꾸는 비밀 교실(소연 선생님),어린이(저학년),비대면,"일반 강연 creative, 기타",https://www.bookseed.kr/program/lecture/e20c5f2b-7f3f-11f0-a027-1cce51281be1,
키큰도토리,김진숙,"바쁘다 총각의 꿈, 내 꿈",어린이(저학년),비대면,"일반 강연 문학, philosophy",https://www.bookseed.kr/program/lecture/e20bc3fa-7f3f-11f0-a027-1cce51281be1,
머스트비,정혜원,"<지름길은 필요 없어 > :다같이 놀자, 다같이 살자",어린이(저학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/e20b92a6-7f3f-11f0-a027-1cce51281be1,
가문비어린이,정혜원,<누구도 못 말리는 말숙이 > :말숙이와 떠나는 우리 설화 여행,어린이(저학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/e20b4e8c-7f3f-11f0-a027-1cce51281be1,
가문비어린이,정혜원,<파도에 실려온 꿈> :소중한 우리 함께 해요,어린이(저학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/e20b0680-7f3f-11f0-a027-1cce51281be1,
마루비,최은순,"[소년 김대건] 한국인 최초 사제, 김대건 신부님의 탄생과 발자취",어린이(저학년),대면/미정,"일반 강연 문학, career",https://www.bookseed.kr/program/lecture/e20ad892-7f3f-11f0-a027-1cce51281be1,
알라딘북스,정혜원,<두근두근 속마음 일기장> :가족일기 한번 써보실래요,어린이(저학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/e20a9784-7f3f-11f0-a027-1cce51281be1,
가문비어린이,정혜원,<우당탕탕 용궁엄마 구출작전 > :용궁 엄마와 떠나는 설화 여행,어린이(저학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/e20a5360-7f3f-11f0-a027-1cce51281be1,
가문비어린이,정혜원,<다함께 울랄라> :우린 다 같은 생명이야,어린이(저학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/e209bd26-7f3f-11f0-a027-1cce51281be1,
북극곰,염희정,<세 번째 소원> 동화작가와의 만남,어린이(저학년),대면/미정,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/e208f439-7f3f-11f0-a027-1cce51281be1,
책놀이터,박혜랑,랑이언니의 그림책 뮤지컬,어린이(저학년),비대면,"others 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e208eedd-7f3f-11f0-a027-1cce51281be1,
반달(킨더랜드),신유미,"【산의 노래】“산은 어떻게 노래할까?”(초등/피아노와 함께 음악,미술 체험) 그림책과 피아노로 떠나는 행복 여행(성인)",어린이(저학년),비대면,"창작 문학, art",https://www.bookseed.kr/program/lecture/e208676e-7f3f-11f0-a027-1cce51281be1,
마루비,김혜온,[진주빌라 별별스타] 세상 어디에나 친구가 있어요.,어린이(저학년),대면/미정,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/e207fced-7f3f-11f0-a027-1cce51281be1,
마루비,최은영,[일주일 회장] 진정한 리더란?,어린이(저학년),비대면,"일반 강연 문학, 사회",https://www.bookseed.kr/program/lecture/e207b611-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,윤정,우리가 꿈꾸는 판타지(윤정 선생님),어린이(저학년),비대면,"창작 creative, writing",https://www.bookseed.kr/program/lecture/e2069ca9-7f3f-11f0-a027-1cce51281be1,
리틀씨앤톡,우성희,공룡 목욕탕’ 속 신나는 탐험!,어린이(저학년),비대면,"활동/워크숍 교양/문화, 기타",https://www.bookseed.kr/program/lecture/e2062828-7f3f-11f0-a027-1cce51281be1,
바이킹,이지연,레이지빗과 함께 떠나는 신나는 웹툰 교실,어린이(저학년),대면/미정,활동/워크숍 art,https://www.bookseed.kr/program/lecture/e205a7c5-7f3f-11f0-a027-1cce51281be1,
바우솔,서석영,<엄마 감옥을 탈출할 거야> 서석영 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e2057ecc-7f3f-11f0-a027-1cce51281be1,
바우솔,서석영,<무지막지 막무가내 폭탄 고양이> :폭탄 고양이를 소개합니다!,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e20555ba-7f3f-11f0-a027-1cce51281be1,
바우솔,서석영,<가족을 빌려줍니다> 서석영 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/e2050261-7f3f-11f0-a027-1cce51281be1,
걸음동무,박찬주,나를 식물로 표현 해 보아요.,어린이(저학년),비대면,"창작 기타, art",https://www.bookseed.kr/program/lecture/e204e2b5-7f3f-11f0-a027-1cce51281be1,
잇츠북어린이,전은희,"전은희 선생님의 <네가 좋아, 우리는 친구!>",어린이(저학년),비대면,bookplay creative,https://www.bookseed.kr/program/lecture/e203dd85-7f3f-11f0-a027-1cce51281be1,
그린북,전경남,나는 선생님이 좋아요!,어린이(저학년),대면/미정,일반 강연 creative,https://www.bookseed.kr/program/lecture/e203b96d-7f3f-11f0-a027-1cce51281be1,
초록개구리,유미희,"자연은 내 친구-<표범장지뱀, 너구나!>를 읽고",어린이(저학년),비대면,"활동/워크숍 문학, writing",https://www.bookseed.kr/program/lecture/e2039146-7f3f-11f0-a027-1cce51281be1,
스푼북,고수산나,"동화로 배우는 인권(차별)이야기, 교과서 수록도서 작가와의 만남",어린이(저학년),대면/미정,"일반 강연 교양/문화, 기타",https://www.bookseed.kr/program/lecture/e203868a-7f3f-11f0-a027-1cce51281be1,
